Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Divorced,Married,Single
0,59,0,2,1.0,1.3414549251653325,0,52,4,2,4,3578.0,663,2915.0,0.674,4065,79,0.646,0.185,0.0,0.0,1.0
0,31,0,0,2.0,0.0,0,21,5,2,2,1677.0,0,1677.0,1.369,3059,50,0.613,0.0,0.0,1.0,0.0
0,26,1,0,2.0,1.0,0,13,5,2,2,2047.0,1196,851.0,0.623,2180,33,0.941,0.584,0.0,0.0,1.0
0,55,0,1,3.0,0.0,0,46,3,3,3,1606.0,0,1606.0,0.855,4548,76,0.652,0.0,0.0,1.0,0.0
0,34,1,1,2.0838129496402877,2.0,0,29,3,2,3,3890.0,2286,1604.0,0.633,1889,51,0.457,0.588,0.0,1.0,0.0
0,44,0,5,2.0838129496402877,1.3414549251653325,0,36,4,2,3,5791.0,0,5791.0,0.645,4556,67,0.861,0.0,0.0,1.0,0.0
0,45,0,4,1.0,1.0,0,36,5,2,1,2948.0,2232,716.0,0.858,3635,79,0.58,0.757,0.0,1.0,0.0
0,36,0,2,0.0,1.0,0,26,3,2,4,3131.0,2379,752.0,0.748,2315,63,0.853,0.76,0.0,0.0,1.0
0,55,1,2,2.0,2.0,0,48,4,3,2,8863.0,1301,7562.0,1.207,1512,27,1.455,0.147,0.0,1.0,0.0
0,46,1,3,0.0,2.0,2,33,3,1,3,34516.0,713,33803.0,0.772,7750,82,0.608,0.021,0.0,1.0,0.0
0,45,0,2,1.0,1.3414549251653325,0,37,4,2,4,27804.0,0,27804.0,1.301,2761,57,0.966,0.0,0.0,0.0,1.0
0,43,0,2,3.0,0.0,0,36,1,2,2,3226.0,2145,1081.0,0.644,5066,75,0.786,0.665,0.0,0.0,1.0
0,38,1,1,3.0,2.0,0,31,6,3,3,2405.0,1553,852.0,1.156,2503,40,0.667,0.646,0.0,1.0,0.0
0,55,1,2,1.0,4.0,0,42,3,2,2,34516.0,1190,33326.0,0.832,2862,78,0.733,0.034,1.0,0.0,0.0
0,48,0,5,2.0838129496402877,1.3414549251653325,0,43,4,3,2,20974.0,2249,18725.0,0.567,15903,121,0.571,0.107,1.0,0.0,0.0
0,46,0,2,2.0,0.0,0,36,4,3,1,1438.3,0,1438.3,0.906,4311,77,0.833,0.0,1.0,0.0,0.0
0,48,0,4,3.0,0.0,0,37,1,1,3,3413.0,1715,1698.0,0.812,3843,67,0.634,0.502,0.0,0.0,1.0
0,42,0,2,3.0,0.0,0,31,2,1,1,3659.0,0,3659.0,0.797,4068,61,0.694,0.0,0.0,0.0,1.0
0,49,0,0,4.0,0.0,0,36,6,3,3,3007.0,2517,490.0,0.853,4423,67,0.675,0.837,0.0,1.0,0.0
0,49,0,2,2.0,0.0,0,40,1,2,1,2096.0,1276,820.0,0.6,4926,82,0.745,0.609,0.0,1.0,0.0
0,47,1,1,1.0,3.0,0,36,4,3,4,17655.0,0,17655.0,0.583,3692,79,0.549,0.0,0.0,0.0,1.0
0,44,1,3,1.0,2.0,0,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.0,0.0,1.0
0,57,0,3,1.0,0.0,0,39,3,2,1,2742.0,2321,421.0,1.315,1389,32,0.6,0.846,0.0,1.0,0.0
0,50,0,4,1.0,0.0,0,43,6,3,4,5908.0,0,5908.0,0.822,3313,72,0.756,0.0,1.0,0.0,0.0
0,34,1,0,3.0,2.0,0,26,4,3,3,5175.0,977,4198.0,1.705,2405,49,0.885,0.189,0.0,1.0,0.0
0,32,1,1,3.0,1.3414549251653325,0,26,6,3,4,18889.0,1880,17009.0,0.702,2979,55,0.774,0.1,0.0,0.0,1.0
0,59,0,1,4.0,0.0,0,36,6,2,2,2759.0,2481,278.0,0.588,5037,84,0.68,0.899,0.0,0.0,1.0
0,36,1,3,2.0,1.0,0,31,6,2,4,2220.0,1337,883.0,0.768,1685,44,0.375,0.602,0.0,1.0,0.0
0,51,0,3,0.0,0.0,0,45,3,3,3,2238.0,1300,938.0,1.071,4508,79,0.756,0.581,0.0,1.0,0.0
0,53,1,3,2.0,4.0,1,44,4,4,2,34516.0,1073,33443.0,0.558,4485,86,0.755,0.031,0.0,0.0,1.0
0,46,1,3,2.0,4.0,0,30,5,1,2,27378.0,1893,25485.0,0.432,3934,78,0.592,0.069,0.0,0.0,1.0
0,57,0,2,1.0,0.0,0,50,5,3,5,3276.0,0,3276.0,0.972,3758,61,0.694,0.0,1.0,0.0,0.0
0,49,0,5,0.0,0.0,0,36,6,2,4,2331.0,1798,533.0,0.847,4061,66,0.692,0.771,0.0,1.0,0.0
0,45,0,4,3.0,0.0,0,36,6,3,2,3342.0,2517,825.0,0.771,1139,30,0.765,0.753,0.0,0.0,1.0
0,48,0,5,2.0838129496402877,1.3414549251653325,0,36,4,2,3,7645.0,931,6714.0,0.894,5016,73,0.622,0.122,0.0,0.0,1.0
0,58,1,2,1.0,3.0,0,54,6,3,2,22981.0,1696,21285.0,0.466,4192,66,0.571,0.074,0.0,0.0,1.0
0,29,1,2,3.0,1.0,1,22,6,2,3,15578.0,1383,14195.0,0.794,2492,71,0.614,0.089,1.0,0.0,0.0
0,39,0,2,0.0,0.0,0,26,5,3,2,3471.0,2517,954.0,0.743,1771,34,0.889,0.725,0.0,1.0,0.0
0,62,0,1,0.0,0.0,0,49,5,4,2,2658.0,1158,1500.0,0.476,1809,41,0.464,0.436,0.0,1.0,0.0
0,51,1,2,3.0,4.0,0,41,4,2,3,2792.0,887,1905.0,0.793,4074,81,0.8,0.318,1.0,0.0,0.0
0,44,0,3,0.0,1.3414549251653325,0,31,4,2,3,18056.0,940,17116.0,0.629,4473,72,0.6,0.052,0.0,0.0,1.0
0,55,0,4,5.0,0.0,0,44,3,1,1,1912.0,0,1912.0,0.783,4666,98,0.719,0.0,0.0,0.0,1.0
0,46,1,1,3.0,4.0,0,30,6,2,2,2016.0,797,1219.0,1.108,3772,62,0.879,0.395,1.0,0.0,0.0
0,42,0,2,0.0,1.3414549251653325,0,32,5,5,3,4708.0,0,4708.0,0.718,4597,89,0.679,0.0,0.0,1.0,0.0
0,49,1,2,3.0,2.0,0,36,5,3,2,4596.0,0,4596.0,0.93,2872,62,0.722,0.0,1.0,0.0,0.0
0,54,0,3,1.0,1.3414549251653325,0,38,4,2,4,5122.0,1642,3480.0,0.935,1908,39,0.696,0.321,0.0,1.0,0.0
0,52,1,2,3.0,3.0,0,36,6,2,2,16026.0,1160,14866.0,0.386,4418,59,0.639,0.072,0.0,0.0,1.0
0,58,1,3,2.0838129496402877,4.0,0,52,4,5,3,12398.0,0,12398.0,0.785,4228,93,0.788,0.0,0.0,1.0,0.0
0,42,0,2,5.0,0.0,0,32,6,6,0,1592.0,0,1592.0,0.745,4172,70,0.75,0.0,0.0,1.0,0.0
